Step 1
Diff X	Diff Y
0.00	8.00
0.08	-0.20
0.02	-0.34
0.12	-0.24
0.16	-0.18
-0.06	0.08
0.00	0.00
0.08	-0.06
-0.16	-0.16

Step 2
Diff X	Diff Y
-0.04	0.02
0.01	0.04
0.07	0.06
0.04	0.14
0.13	0.26
0.20	-0.26
0.04	-0.06
0.04	-0.04
-0.01	0.20
0.14	-0.10
0.03	-0.16
0.02	0.08
0.12	-0.06
0.07	-0.28
0.00	0.02
0.06	0.02
0.04	0.08
0.34	-0.04
0.02	-0.12
-0.06	0.08

Step 3
Diff X	Diff Y
-0.07	0.06
0.07	-0.30
-0.77	6.82
-0.05	0.20
-0.01	0.08
-0.05	0.04
0.13	-0.14
0.01	-0.06
-0.07	-0.04
-0.03	0.10

